,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Stevenson (Robert Louis) ES4GE,782,Stevenson (Robert Louis) ES,4,GE,General Education,21,0,1%,7,34%,0,0,0%,0,0%,2,0,0%,1,22%,0,0,-,0,-,1,0,0%,1,100%,19,0,1%,6,34%
,Stevenson (Robert Louis) ES5GE,782,Stevenson (Robert Louis) ES,5,GE,General Education,19,1,4%,6,31%,1,0,0%,0,0%,3,0,0%,1,20%,0,0,-,0,-,0,0,0%,0,0%,16,1,5%,5,34%
,Stevenson (Robert Louis) ESTKMM,782,Stevenson (Robert Louis) ES,TK,MM,SDC - Mild to Moderate,17,6,33%,12,68%,1,1,100%,1,100%,1,1,100%,1,100%,0,0,-,0,-,3,1,25%,3,100%,14,4,31%,8,59%
,Stevenson (Robert Louis) ESKMM,782,Stevenson (Robert Louis) ES,K,MM,SDC - Mild to Moderate,16,3,20%,9,55%,0,0,100%,0,100%,0,0,0%,0,0%,0,0,-,0,-,2,1,29%,2,100%,14,3,18%,7,50%
,Stevenson (Robert Louis) ES1MM,782,Stevenson (Robert Louis) ES,1,MM,SDC - Mild to Moderate,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Stevenson (Robert Louis) ES2MM,782,Stevenson (Robert Louis) ES,2,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Stevenson (Robert Louis) ES3MM,782,Stevenson (Robert Louis) ES,3,MM,SDC - Mild to Moderate,1,0,33%,1,67%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%
,Stevenson (Robert Louis) ES4MM,782,Stevenson (Robert Louis) ES,4,MM,SDC - Mild to Moderate,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%
,Stevenson (Robert Louis) ES5MM,782,Stevenson (Robert Louis) ES,5,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
New for 26-27,Stockton (Commodore) EESTKGE872,915,Stockton (Commodore) EES,TK,GE872,Chin (John Yehall) ES TK Feeder - General Education,70,20,29%,55,79%,3,3,100%,3,100%,8,2,25%,7,88%,0,0,-,0,-,7,2,29%,6,86%,29,0,0%,19,66%
,Sunnyside ESKGE,842,Sunnyside ES,K,GE,General Education,354,70,20%,300,85%,20,20,100%,20,100%,51,35,69%,51,100%,0,0,-,0,-,18,3,18%,18,100%,279,26,9%,225,81%
,Sunnyside ES1GE,842,Sunnyside ES,1,GE,General Education,17,2,13%,11,62%,1,0,50%,0,50%,2,1,71%,2,86%,0,0,-,0,-,0,0,-,0,-,15,1,7%,9,61%
,Sunnyside ES2GE,842,Sunnyside ES,2,GE,General Education,11,4,40%,10,88%,0,0,-,0,-,1,1,67%,1,100%,0,0,-,0,-,0,0,-,0,-,10,4,38%,9,88%
,Sunnyside ES3GE,842,Sunnyside ES,3,GE,General Education,12,6,47%,11,91%,0,0,-,0,-,2,2,100%,2,100%,0,0,-,0,-,1,0,33%,1,100%,9,4,38%,8,89%
,Sunnyside ES4GE,842,Sunnyside ES,4,GE,General Education,9,3,33%,8,89%,0,0,-,0,-,1,0,50%,0,50%,0,0,-,0,-,1,0,33%,1,100%,8,3,32%,7,90%
,Sunnyside ES5GE,842,Sunnyside ES,5,GE,General Education,6,2,32%,5,82%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,1,0,0%,0,50%,5,2,37%,4,89%
,Sunnyside ESKMS,842,Sunnyside ES,K,MS,SDC - Extensive Support,5,2,50%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,4,2,50%,4,100%
,Sunnyside ES1MS,842,Sunnyside ES,1,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sunnyside ES2MS,842,Sunnyside ES,2,MS,SDC - Extensive Support,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,100%,0,100%
,Sunnyside ES3MS,842,Sunnyside ES,3,MS,SDC - Extensive Support,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-
,Sunnyside ES4MS,842,Sunnyside ES,4,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sunset ESKGE,750,Sunset ES,K,GE,General Education,743,67,9%,507,68%,22,22,100%,22,100%,61,54,88%,58,95%,0,0,-,0,-,22,5,21%,22,100%,653,2,0%,421,64%
,Sunset ES1GE,750,Sunset ES,1,GE,General Education,52,2,3%,16,30%,0,0,0%,0,0%,1,1,100%,1,100%,0,0,-,0,-,1,0,0%,1,75%,49,1,1%,14,28%
,Sunset ES2GE,750,Sunset ES,2,GE,General Education,40,1,1%,11,28%,1,0,50%,0,50%,1,0,20%,1,40%,0,0,-,0,-,1,0,0%,0,0%,38,0,0%,11,28%
,Sunset ES3GE,750,Sunset ES,3,GE,General Education,39,1,1%,9,22%,1,0,0%,0,0%,2,0,0%,0,0%,0,0,-,0,-,1,0,0%,1,75%,36,1,1%,8,22%
,Sunset ES4GE,750,Sunset ES,4,GE,General Education,37,1,3%,11,31%,1,0,0%,0,0%,2,1,25%,1,25%,0,0,-,0,-,2,1,22%,2,78%,32,0,0%,9,28%
,Sunset ES5GE,750,Sunset ES,5,GE,General Education,28,0,1%,6,20%,1,0,0%,0,0%,2,0,13%,1,25%,0,0,-,0,-,1,0,0%,0,50%,25,0,0%,5,19%
,Sunset ESKSA,750,Sunset ES,K,SA,SDC - Extensive Support w Autism Focus,8,3,33%,8,94%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%,7,3,42%,6,92%
,Sunset ES1SA,750,Sunset ES,1,SA,SDC - Extensive Support w Autism Focus,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%
,Sunset ES2SA,750,Sunset ES,2,SA,SDC - Extensive Support w Autism Focus,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Sunset ES3SA,750,Sunset ES,3,SA,SDC - Extensive Support w Autism Focus,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%
,Sunset ES4SA,750,Sunset ES,4,SA,SDC - Extensive Support w Autism Focus,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Sunset ES5SA,750,Sunset ES,5,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sutro ESKCB,848,Sutro ES,K,CB,Cantonese Biliteracy,46,21,44%,46,99%,7,7,93%,7,100%,0,0,-,0,-,0,0,-,0,-,2,1,22%,2,100%,36,13,37%,35,99%
,Sutro ES1CB,848,Sutro ES,1,CB,Cantonese Biliteracy,2,2,86%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,2,86%,2,100%
,Sutro ES2CB,848,Sutro ES,2,CB,Cantonese Biliteracy,2,1,83%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,75%,1,100%
,Sutro ES3CB,848,Sutro ES,3,CB,Cantonese Biliteracy,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Sutro ES4CB,848,Sutro ES,4,CB,Cantonese Biliteracy,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,0,0,0%,0,100%
,Sutro ES5CB,848,Sutro ES,5,CB,Cantonese Biliteracy,1,1,50%,1,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,100%,0,100%
,Sutro ESTKGE,848,Sutro ES,TK,GE,General Education,173,25,14%,112,64%,8,8,100%,8,100%,7,5,67%,7,100%,0,0,-,0,-,7,1,7%,7,100%,153,13,8%,92,60%
,Sutro ESKGE,848,Sutro ES,K,GE,General Education,301,20,7%,255,85%,7,3,48%,7,100%,27,15,57%,25,93%,0,0,-,0,-,7,0,0%,7,100%,262,3,1%,218,83%
,Sutro ES1GE,848,Sutro ES,1,GE,General Education,12,3,28%,11,94%,0,0,-,0,-,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,11,3,27%,10,93%
,Sutro ES2GE,848,Sutro ES,2,GE,General Education,7,3,34%,6,83%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,7,2,30%,6,81%
,Sutro ES3GE,848,Sutro ES,3,GE,General Education,10,4,34%,8,80%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,0%,1,100%,10,3,34%,8,79%
,Sutro ES4GE,848,Sutro ES,4,GE,General Education,8,1,13%,7,84%,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,7,1,15%,5,81%
,Sutro ES5GE,848,Sutro ES,5,GE,General Education,6,1,17%,4,63%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,25%,1,50%,5,1,11%,3,63%
,Taylor (Edward R) ESKAF,513,Taylor (Edward R) ES,K,AF,SDC – Mild/Mod Autism Focus,8,3,32%,7,87%,1,1,100%,1,100%,1,1,50%,1,100%,0,0,-,0,-,3,1,38%,3,100%,3,1,15%,2,69%
,Taylor (Edward R) ES1AF,513,Taylor (Edward R) ES,1,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-
,Taylor (Edward R) ES2AF,513,Taylor (Edward R) ES,2,AF,SDC – Mild/Mod Autism Focus,1,0,33%,1,67%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,50%,0,50%
,Taylor (Edward R) ES3AF,513,Taylor (Edward R) ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Taylor (Edward R) ES4AF,513,Taylor (Edward R) ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,100%,0,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Taylor (Edward R) ES5AF,513,Taylor (Edward R) ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Taylor (Edward R) ESKCB,513,Taylor (Edward R) ES,K,CB,Cantonese Biliteracy,41,20,49%,41,100%,8,8,91%,8,100%,0,0,-,0,-,0,0,-,0,-,4,2,38%,4,100%,26,10,40%,26,100%
,Taylor (Edward R) ES1CB,513,Taylor (Edward R) ES,1,CB,Cantonese Biliteracy,3,2,58%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,2,2,75%,2,100%
,Taylor (Edward R) ES2CB,513,Taylor (Edward R) ES,2,CB,Cantonese Biliteracy,2,1,57%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%
,Taylor (Edward R) ES3CB,513,Taylor (Edward R) ES,3,CB,Cantonese Biliteracy,4,3,73%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,3,2,75%,3,100%
,Taylor (Edward R) ES4CB,513,Taylor (Edward R) ES,4,CB,Cantonese Biliteracy,4,1,36%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,3,0,10%,3,100%
,Taylor (Edward R) ES5CB,513,Taylor (Edward R) ES,5,CB,Cantonese Biliteracy,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%
Opened in 25-26,Taylor (Edward R) ESTKGE,513,Taylor (Edward R) ES,TK,GE,General Education,74,25,34%,63,85%,6,6,92%,6,100%,12,9,75%,12,100%,0,0,-,0,-,20,9,45%,20,100%,40,6,14%,29,73%
,Taylor (Edward R) ESKGE,513,Taylor (Edward R) ES,K,GE,General Education,113,38,34%,111,98%,15,10,67%,15,100%,27,13,47%,27,100%,0,0,-,0,-,23,6,27%,23,100%,57,16,28%,55,96%
,Taylor (Edward R) ES1GE,513,Taylor (Edward R) ES,1,GE,General Education,6,2,28%,5,80%,0,0,-,0,-,1,0,0%,0,33%,0,0,-,0,-,1,0,0%,1,60%,4,2,41%,4,94%
,Taylor (Edward R) ES2GE,513,Taylor (Edward R) ES,2,GE,General Education,7,2,29%,5,68%,0,0,0%,0,0%,2,1,29%,1,71%,0,0,-,0,-,1,0,0%,1,75%,4,2,38%,3,69%
,Taylor (Edward R) ES3GE,513,Taylor (Edward R) ES,3,GE,General Education,3,0,9%,1,36%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,-,0,-,1,0,0%,0,50%,1,0,25%,1,75%
,Taylor (Edward R) ES4GE,513,Taylor (Edward R) ES,4,GE,General Education,4,1,13%,3,63%,1,1,100%,1,100%,1,0,33%,0,33%,0,0,-,0,-,1,0,0%,0,33%,2,0,0%,2,78%
,Taylor (Edward R) ES5GE,513,Taylor (Edward R) ES,5,GE,General Education,3,0,9%,2,82%,0,0,-,0,-,1,0,0%,1,67%,0,0,-,0,-,1,0,33%,1,100%,1,0,0%,1,80%
,Taylor (Edward R) ESKSB,513,Taylor (Edward R) ES,K,SB,Spanish Biliteracy,30,13,43%,30,100%,3,3,100%,3,100%,0,0,-,0,-,0,0,-,0,-,12,5,42%,12,100%,15,6,39%,15,100%
,Taylor (Edward R) ES1SB,513,Taylor (Edward R) ES,1,SB,Spanish Biliteracy,1,1,40%,1,60%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,0,0,0%,0,100%
,Taylor (Edward R) ES2SB,513,Taylor (Edward R) ES,2,SB,Spanish Biliteracy,2,1,50%,1,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,0,0,100%,0,100%
,Taylor (Edward R) ES3SB,513,Taylor (Edward R) ES,3,SB,Spanish Biliteracy,1,1,67%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,1,1,100%,1,100%
,Taylor (Edward R) ES4SB,513,Taylor (Edward R) ES,4,SB,Spanish Biliteracy,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-
,Taylor (Edward R) ES5SB,513,Taylor (Edward R) ES,5,SB,Spanish Biliteracy,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,0%,0,100%
Opened in 24-25,Tenderloin Community ESTKAF,859,Tenderloin Community ES,TK,AF,SDC – Mild/Mod Autism Focus,4,2,38%,4,92%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,3,1,44%,3,89%
Opened in 24-25,Tenderloin Community ESKAF,859,Tenderloin Community ES,K,AF,SDC – Mild/Mod Autism Focus,3,2,56%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,2,1,50%,2,100%
Opened in 24-25,Tenderloin Community ES1AF,859,Tenderloin Community ES,1,AF,SDC – Mild/Mod Autism Focus,1,0,50%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,100%,0,100%
Opened in 24-25,Tenderloin Community ES2AF,859,Tenderloin Community ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Tenderloin Community ES3AF,859,Tenderloin Community ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Tenderloin Community ES4AF,859,Tenderloin Community ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Tenderloin Community ESTKGE,859,Tenderloin Community ES,TK,GE,General Education,46,31,68%,46,99%,3,3,100%,3,100%,5,3,65%,5,100%,0,0,-,0,-,8,4,50%,8,100%,34,24,69%,34,99%
,Tenderloin Community ESKGE,859,Tenderloin Community ES,K,GE,General Education,64,38,59%,64,100%,6,6,100%,6,100%,21,16,76%,21,100%,0,0,-,0,-,23,15,64%,23,100%,31,15,48%,31,100%
,Tenderloin Community ES1GE,859,Tenderloin Community ES,1,GE,General Education,2,1,44%,2,89%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,1,1,67%,1,100%,1,0,20%,1,80%
,Tenderloin Community ES2GE,859,Tenderloin Community ES,2,GE,General Education,3,2,58%,3,83%,0,0,-,0,-,1,1,80%,1,80%,0,0,-,0,-,2,1,33%,1,67%,1,1,75%,1,100%
,Tenderloin Community ES3GE,859,Tenderloin Community ES,3,GE,General Education,2,0,17%,1,50%,0,0,-,0,-,1,0,50%,0,50%,0,0,-,0,-,1,0,33%,0,33%,1,0,0%,1,100%
,Tenderloin Community ES4GE,859,Tenderloin Community ES,4,GE,General Education,2,1,22%,2,100%,0,0,-,0,-,1,0,33%,1,100%,0,0,-,0,-,1,0,25%,1,100%,1,0,25%,1,100%
,Tenderloin Community ES5GE,859,Tenderloin Community ES,5,GE,General Education,2,1,25%,2,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,100%,0,100%,2,0,14%,2,100%
New for 26-27,Tule Elk Park EESTKGE479,997,Tule Elk Park EES,TK,GE479,Lilienthal (Claire) K-8 TK Feeder - General Education,166,41,25%,106,64%,13,13,100%,13,100%,0,0,-,0,-,0,0,-,0,-,10,4,40%,10,100%,122,10,8%,62,51%
New for 26-27,Tule Elk Park EESTKGE569,997,Tule Elk Park EES,TK,GE569,Peabody (George) ES TK Feeder - General Education,110,22,20%,84,76%,4,3,75%,4,100%,6,6,100%,6,100%,0,0,-,0,-,4,1,25%,4,100%,86,13,15%,60,70%
New for 26-27,Tule Elk Park EESTKGE735,997,Tule Elk Park EES,TK,GE735,New Traditions ES TK Feeder - General Education,91,22,24%,66,73%,4,4,100%,4,100%,14,12,86%,14,100%,0,0,-,0,-,8,2,25%,8,100%,62,7,11%,37,60%
New for 26-27,Tule Elk Park EESTKGE801,997,Tule Elk Park EES,TK,GE801,Wo (Yick) ES TK Feeder - General Education,63,26,41%,63,100%,7,5,71%,7,100%,16,9,56%,16,100%,0,0,-,0,-,0,0,-,0,-,35,16,46%,35,100%
,Ulloa ESKCB,862,Ulloa ES,K,CB,Cantonese Biliteracy,145,22,15%,93,64%,14,12,87%,14,100%,0,0,-,0,-,0,0,-,0,-,10,3,33%,10,100%,118,8,6%,66,56%
,Ulloa ES1CB,862,Ulloa ES,1,CB,Cantonese Biliteracy,11,1,12%,2,17%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,10,1,13%,2,18%
,Ulloa ES2CB,862,Ulloa ES,2,CB,Cantonese Biliteracy,6,2,24%,3,44%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,3,1,31%,2,46%
,Ulloa ES3CB,862,Ulloa ES,3,CB,Cantonese Biliteracy,4,2,50%,3,81%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,2,67%,2,78%
,Ulloa ES4CB,862,Ulloa ES,4,CB,Cantonese Biliteracy,4,2,43%,2,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,2,1,44%,1,56%
,Ulloa ES5CB,862,Ulloa ES,5,CB,Cantonese Biliteracy,2,2,78%,2,78%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,2,86%,2,86%
New for 26-27,Ulloa ESTKGE,862,Ulloa ES,TK,GE,General Education,324,20,6%,110,34%,13,12,92%,13,100%,37,6,16%,12,32%,0,0,-,0,-,13,7,54%,13,100%,266,0,0%,78,29%
,Ulloa ESKGE,862,Ulloa ES,K,GE,General Education,547,69,13%,440,80%,27,19,69%,27,100%,60,42,70%,60,99%,0,0,-,0,-,19,0,1%,19,100%,454,19,4%,348,77%
,Ulloa ES1GE,862,Ulloa ES,1,GE,General Education,36,7,20%,18,49%,0,0,-,0,-,3,1,30%,1,30%,0,0,-,0,-,1,0,33%,0,33%,33,6,19%,17,51%
,Ulloa ES2GE,862,Ulloa ES,2,GE,General Education,25,4,16%,10,42%,0,0,0%,0,0%,2,0,13%,1,25%,0,0,-,0,-,1,0,50%,0,50%,22,4,16%,10,43%
,Ulloa ES3GE,862,Ulloa ES,3,GE,General Education,22,5,20%,13,56%,0,0,-,0,-,1,1,50%,1,75%,0,0,-,0,-,1,0,0%,1,100%,21,4,19%,11,54%
,Ulloa ES4GE,862,Ulloa ES,4,GE,General Education,20,5,23%,13,65%,0,0,-,0,-,1,0,33%,0,33%,0,0,-,0,-,2,0,17%,1,83%,18,4,23%,11,64%
,Ulloa ES5GE,862,Ulloa ES,5,GE,General Education,17,5,30%,11,61%,0,0,-,0,-,1,0,25%,1,50%,0,0,-,0,-,1,0,0%,0,50%,16,5,32%,10,62%
,Visitacion Valley ES3CB,867,Visitacion Valley ES,3,CB,Cantonese Biliteracy,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Visitacion Valley ES4CB,867,Visitacion Valley ES,4,CB,Cantonese Biliteracy,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Visitacion Valley ESTKGE,867,Visitacion Valley ES,TK,GE,General Education,51,28,54%,51,100%,5,5,100%,5,100%,7,5,69%,7,100%,0,0,-,0,-,10,5,49%,10,100%,36,19,53%,36,100%
,Visitacion Valley ESKGE,867,Visitacion Valley ES,K,GE,General Education,60,22,36%,54,90%,6,6,96%,6,100%,19,9,45%,17,86%,0,0,-,0,-,20,9,42%,20,96%,30,8,28%,27,89%
,Visitacion Valley ES1GE,867,Visitacion Valley ES,1,GE,General Education,4,1,21%,2,64%,0,0,0%,0,0%,1,0,0%,0,0%,0,0,-,0,-,1,0,0%,0,0%,3,1,30%,2,90%
,Visitacion Valley ES2GE,867,Visitacion Valley ES,2,GE,General Education,3,1,27%,3,91%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,1,0,0%,1,100%,2,1,29%,2,86%
,Visitacion Valley ES3GE,867,Visitacion Valley ES,3,GE,General Education,3,1,30%,2,80%,0,0,-,0,-,1,0,50%,0,50%,0,0,-,0,-,2,0,17%,1,67%,1,0,33%,1,100%
,Visitacion Valley ES4GE,867,Visitacion Valley ES,4,GE,General Education,2,1,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,20%,1,60%
,Visitacion Valley ES5GE,867,Visitacion Valley ES,5,GE,General Education,2,1,29%,2,86%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,100%,0,100%,1,0,20%,1,100%
,Visitacion Valley MS6GE,868,Visitacion Valley MS,6,GE,General Education,231,122,53%,231,100%,9,8,91%,9,100%,0,0,-,0,-,73,44,61%,73,100%,52,22,42%,52,100%,120,66,55%,120,100%
,Visitacion Valley MS7GE,868,Visitacion Valley MS,7,GE,General Education,5,2,50%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,4,2,56%,4,100%
,Visitacion Valley MS8GE,868,Visitacion Valley MS,8,GE,General Education,2,0,0%,2,88%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,0,0%,2,86%
,Visitacion Valley MS6MM,868,Visitacion Valley MS,6,MM,SDC - Mild to Moderate,3,0,8%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,14%,2,100%,1,0,0%,1,100%
,Visitacion Valley MS7MM,868,Visitacion Valley MS,7,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Visitacion Valley MS8MM,868,Visitacion Valley MS,8,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Visitacion Valley MS6NX,868,Visitacion Valley MS,6,NX,Newcomer Program,11,6,57%,11,100%,1,1,100%,1,100%,0,0,-,0,-,4,2,53%,4,100%,3,2,54%,3,100%,4,3,63%,4,100%
,Visitacion Valley MS7NX,868,Visitacion Valley MS,7,NX,Newcomer Program,2,0,17%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,25%,1,100%
,Visitacion Valley MS8NX,868,Visitacion Valley MS,8,NX,Newcomer Program,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
New for 26-27,Wallenberg (Raoul) HS10AO,785,Wallenberg (Raoul) HS,10,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
New for 26-27,Wallenberg (Raoul) HS11AO,785,Wallenberg (Raoul) HS,11,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
New for 26-27,Wallenberg (Raoul) HS12AO,785,Wallenberg (Raoul) HS,12,AO,SDC - Auditory/Oral,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Wallenberg (Raoul) HS13CA,785,Wallenberg (Raoul) HS,13,CA,SDC - Transition Program (CAT),12,4,34%,10,85%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,43%,2,100%,10,3,33%,8,83%
,Wallenberg (Raoul) HS9GE,785,Wallenberg (Raoul) HS,9,GE,General Education,899,217,24%,843,94%,17,12,71%,17,100%,0,0,-,0,-,0,0,-,0,-,146,30,21%,146,100%,733,176,24%,678,92%
,Wallenberg (Raoul) HS10GE,785,Wallenberg (Raoul) HS,10,GE,General Education,31,20,65%,31,100%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,1,1,40%,1,100%,29,19,66%,29,100%
